ItemID,DataID,OldID,Continent,RivID,X,Y,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
I084,D030,Ref035,Oceania,NR092,138.9904627,-34.54857478,Australia,2013,4,V16S01,16S,100,1,1,1,Global_db
I136,D048,CD05,Oceania,NR093,116.34871,-31.94633122,Australia,2018,5,V16S01,16S,200,1,10,10,Global_db
I137,D048,CD05,Oceania,NR093,116.34871,-31.94633122,Australia,2018,5,MiFish,12S,170,1,10,10,Global_db
I138,D048,CD05,Oceania,NR093,116.34871,-31.94633122,Australia,2018,5,V16S02,16S,200,1,10,10,Global_db
I139,D048,CD05,Oceania,NR093,116.34871,-31.94633122,Australia,2018,5,V16S03,16S,80,1,10,10,Global_db
I157,D055,CD23,Oceania,NR094,116.0414271,-32.11378274,Australia,2021,3,MiFish,12S,170,2,4,8,Custom_db
I158,D056,CD25,Africa,NR095,48.74023536,-16.16269968,Madagascar,2021,11,MiFish,12S,170,0.56,3,1.68,Global_db
I159,D056,CD25,Africa,NR095,48.74023536,-16.16269968,Madagascar,2021,11,Riaz02,12S,230,0.56,3,1.68,Global_db
I160,D056,CD25,Africa,NR095,48.74023536,-16.16269968,Madagascar,2021,11,Tele02,12S,170,0.56,3,1.68,Global_db
I045,D022,Ref024,Europe,NR096,9.152519639,47.34247516,Switzerland,2018,10,Riaz01,12S,106,0.5,2,1,Global_db
I046,D022,Ref024,Europe,NR096,9.152519639,47.34247516,Switzerland,2018,5,Riaz01,12S,106,0.5,2,1,Global_db
I047,D022,Ref024,Europe,NR096,9.152519639,47.34247516,Switzerland,2018,8,Riaz01,12S,106,0.5,2,1,Global_db
I171,D058,CD37,Europe,NR097,-5.131696083,43.13361711,Spain,2019,8,BCOI,COI,421,1,5,5,Global_db
I175,D060,CD40,Europe,NR098,7.054598633,46.32654456,Switzerland,2020,6,Riaz03,12S,99,30,3,90,Global_db
I176,D060,CD40,Europe,NR099,7.148292378,46.44712649,Switzerland,2020,6,Riaz03,12S,99,30,3,90,Global_db
I172,D059,CD39,South_America,NR100,-73.69962655,11.24222668,Columbia,2018,10,Chon01,12S,83,30,2,60,Custom_db
I173,D059,CD39,South_America,NR100,-73.69962655,11.24222668,Columbia,2018,10,Teleo,12S,108,30,2,60,Custom_db
I174,D059,CD39,South_America,NR100,-73.69962655,11.24222668,Columbia,2018,10,Riaz03,12S,99,30,2,60,Custom_db
I177,D061,CD41,Asia,NR101,101.704767,24.24271718,China,2019,11,Tele02,12S,170,0.3,3,0.9,Global_db
I178,D062,CD42,Asia,NR102,108.2154768,32.99330841,China,2022,10,Tele02,12S,170,3,3,9,Global_db
I179,D062,CD42,Asia,NR103,108.4002613,34.3811475,China,2022,10,Tele02,12S,170,3,3,9,Global_db
I161,D057,CD30,North_America,NR104,-83.31412967,8.725546589,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I166,D057,CD30,North_America,NR105,-82.42475656,8.330435316,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I167,D057,CD30,North_America,NR106,-82.25916125,8.353934005,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I168,D057,CD30,North_America,NR107,-81.63170921,7.990938278,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I163,D057,CD30,North_America,NR108,-81.21738222,7.889463367,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I164,D057,CD30,North_America,NR109,-81.06948238,7.917498123,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I162,D057,CD30,North_America,NR110,-81.72492099,7.461991224,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I165,D057,CD30,North_America,NR111,-81.06684403,7.884976007,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I169,D057,CD30,North_America,NR112,-82.307661,8.323465968,Panama,2022,8,MiFish,12S,170,2,1,2,Global_db
I170,D058,CD37,Europe,NR113,-4.838409069,43.19563134,Spain,2019,8,BCOI,COI,421,1.5,1,1.5,Global_db
